gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type_of_interaction
CHS3	YBR023C	Chitin synthase 3 {ECO:0000303|PubMed:2050737}	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	ku
CHS3	YBR023C	Chitin synthase 3 {ECO:0000303|PubMed:2050737}	CHS5	YLR330W	Chitin biosynthesis protein CHS5	p
CHS3	YBR023C	Chitin synthase 3 {ECO:0000303|PubMed:2050737}	PIN2	YOR104W	[PSI+] induction protein 2	p
PDB1	YBR221C	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial precursor	PDA1	YER178W	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial precursor	p
ARF1	YDL192W	ADP-ribosylation factor 1	CHS5	YLR330W	Chitin biosynthesis protein CHS5	p
RRP1	YDR087C	Ribosomal RNA-processing protein 1	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	ku
RRP1	YDR087C	Ribosomal RNA-processing protein 1	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	p
SWI5	YDR146C	Transcriptional factor SWI5	NDD1	YOR372C	Nuclear division defective protein 1	tu
GSC2	YGR032W	1,3-beta-glucan synthase component GSC2	SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	ku
GSC2	YGR032W	1,3-beta-glucan synthase component GSC2	BCK1	YJL095W	Serine/threonine-protein kinase BCK1/SLK1/SSP31	ku
PAC10	YGR078C	Prefoldin subunit 3	CIN8	YEL061C	Kinesin-like protein CIN8	p
MYO4	YAL029C	Myosin-4	REB1	YBR049C	DNA-binding protein REB1	tu
TSA2	YDR453C	Peroxiredoxin TSA2	REB1	YBR049C	DNA-binding protein REB1	tu
AFG3	YER017C	Mitochondrial respiratory chain complexes assembly protein AFG3	PHB1	YGR132C	Prohibitin-1	p
FRS2	YFL022C	Phenylalanine--tRNA ligase alpha subunit	REB1	YBR049C	DNA-binding protein REB1	tu
PRE7	YBL041W	Proteasome subunit beta type-6 precursor	NAS2	YIL007C	Probable 26S proteasome regulatory subunit p27	p
RSA4	YCR072C	Ribosome assembly protein 4 {ECO:0000303|PubMed:16221974}	ARX1	YDR101C	Probable metalloprotease ARX1	p
RSA4	YCR072C	Ribosome assembly protein 4 {ECO:0000303|PubMed:16221974}	MDN1	YLR106C	Midasin	p
RSA4	YCR072C	Ribosome assembly protein 4 {ECO:0000303|PubMed:16221974}	IPI3	YNL182C	Pre-rRNA-processing protein IPI3	p
NUG1	YER006W	Nuclear GTP-binding protein NUG1	MDN1	YLR106C	Midasin	p
NUG1	YER006W	Nuclear GTP-binding protein NUG1	RLP7	YNL002C	Ribosome biogenesis protein RLP7	p
NSA2	YER126C	Ribosome biogenesis protein NSA2	RSA4	YCR072C	Ribosome assembly protein 4 {ECO:0000303|PubMed:16221974}	p
NSA2	YER126C	Ribosome biogenesis protein NSA2	ARX1	YDR101C	Probable metalloprotease ARX1	p
NSA2	YER126C	Ribosome biogenesis protein NSA2	NOP7	YGR103W	Pescadillo homolog {ECO:0000255|HAMAP-Rule:MF_03028, ECO:0000303|PubMed:12022229}	p
NSA2	YER126C	Ribosome biogenesis protein NSA2	RIX1	YHR197W	Pre-rRNA-processing protein RIX1	p
NSA2	YER126C	Ribosome biogenesis protein NSA2	BUD20	YLR074C	Bud site selection protein 20	p
NSA2	YER126C	Ribosome biogenesis protein NSA2	NOG2	YNR053C	Nucleolar GTP-binding protein 2	p
SPB4	YFL002C	ATP-dependent rRNA helicase SPB4 {ECO:0000305}	NOP7	YGR103W	Pescadillo homolog {ECO:0000255|HAMAP-Rule:MF_03028, ECO:0000303|PubMed:12022229}	p
SPB4	YFL002C	ATP-dependent rRNA helicase SPB4 {ECO:0000305}	RIX1	YHR197W	Pre-rRNA-processing protein RIX1	p
SPB4	YFL002C	ATP-dependent rRNA helicase SPB4 {ECO:0000305}	NOG1	YPL093W	Nucleolar GTP-binding protein 1	p
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	ROD1	YOR018W	Protein ROD1	kd
SWI4	YER111C	Regulatory protein SWI4	PHD1	YKL043W	Putative transcription factor PHD1	td
NA	YDR042C	Uncharacterized protein YDR042C	SUM1	YDR310C	Suppressor of mar1-1 protein	tu
BNA6	YFR047C	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	SUM1	YDR310C	Suppressor of mar1-1 protein	tu
IVY1	YDR229W	Protein IVY1	CRM1	YGR218W	Exportin-1	p
CIT2	YCR005C	Citrate synthase, peroxisomal	UME6	YDR207C	Transcriptional regulatory protein UME6	tu
SLM5	YCR024C	Asparagine--tRNA ligase, mitochondrial precursor	PRP40	YKL012W	Pre-mRNA-processing protein PRP40	p
NCL1	YBL024W	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase	CDC28	YBR160W	Cyclin-dependent kinase 1	ku
NCL1	YBL024W	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase	ABF1	YKL112W	ARS-binding factor 1	tu
MRH1	YDR033W	Protein MRH1	CDC28	YBR160W	Cyclin-dependent kinase 1	ku
CHD1	YER164W	Chromo domain-containing protein 1	SPT16	YGL207W	FACT complex subunit SPT16	p
CHD1	YER164W	Chromo domain-containing protein 1	CKA1	YIL035C	Casein kinase II subunit alpha	ku
CHD1	YER164W	Chromo domain-containing protein 1	CKA1	YIL035C	Casein kinase II subunit alpha	p
CHD1	YER164W	Chromo domain-containing protein 1	POB3	YML069W	FACT complex subunit POB3	p
DDI2	YFL061W	Cyanamide hydratase DDI2 {ECO:0000303|PubMed:25847245}	UME6	YDR207C	Transcriptional regulatory protein UME6	tu
REB1	YBR049C	DNA-binding protein REB1	HMO1	YDR174W	High mobility group protein 1	td
SRB7	YDR308C	Mediator of RNA polymerase II transcription subunit 21	ADA2	YDR448W	Transcriptional adapter 2	p
SRB7	YDR308C	Mediator of RNA polymerase II transcription subunit 21	GCN4	YEL009C	General control protein GCN4	p
SSN2	YDR443C	Mediator of RNA polymerase II transcription subunit 13	CDC39	YCR093W	General negative regulator of transcription subunit 1	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	HTA1	YDR225W	Histone H2A.1	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	SNF6	YHL025W	Transcription regulatory protein SNF6	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	SWI3	YJL176C	SWI/SNF complex subunit SWI3	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	ARP9	YMR033W	Actin-like protein ARP9	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	HHT2	YNL031C	Histone H3	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	SNF2	YOR290C	Transcription regulatory protein SNF2	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	SWI1	YPL016W	SWI/SNF chromatin-remodeling complex subunit SWI1	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	TAF14	YPL129W	Transcription initiation factor TFIID subunit 14	p
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	ARP7	YPR034W	Actin-related protein 7	p
RSC8	YFR037C	Chromatin structure-remodeling complex protein RSC8	HHT1	YBR010W	Histone H3	p
RSC8	YFR037C	Chromatin structure-remodeling complex protein RSC8	RSC6	YCR052W	Chromatin structure-remodeling complex protein RSC6	p
RSC8	YFR037C	Chromatin structure-remodeling complex protein RSC8	HHT2	YNL031C	Histone H3	p
UGA4	YDL210W	GABA-specific permease	STB1	YNL309W	Protein STB1	tu
SYF1	YDR416W	Pre-mRNA-splicing factor SYF1	CEF1	YMR213W	Pre-mRNA-splicing factor CEF1	p
RAD16	YBR114W	DNA repair protein RAD16	ABF1	YKL112W	ARS-binding factor 1	p
HAC1	YFL031W	Transcriptional activator HAC1	IRE1	YHR079C	Serine/threonine-protein kinase/endoribonuclease IRE1 precursor	ku
ENT1	YDL161W	Epsin-1	UBI4	YLL039C	Polyubiquitin precursor	p
ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	FHL1	YPR104C	Pre-rRNA-processing protein FHL1	tu
REB1	YBR049C	DNA-binding protein REB1	SIN3	YOL004W	Transcriptional regulatory protein SIN3	td
REB1	YBR049C	DNA-binding protein REB1	FAS2	YPL231W	Fatty acid synthase subunit alpha	td
SEC31	YDL195W	Protein transport protein SEC31	CKA2	YOR061W	Casein kinase II subunit alpha'	ku
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	CKA1	YIL035C	Casein kinase II subunit alpha	kd
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	FAS1	YKL182W	Fatty acid synthase subunit beta	kd
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	FAS2	YPL231W	Fatty acid synthase subunit alpha	kd
PAB1	YER165W	Polyadenylate-binding protein, cytoplasmic and nuclear	PKC1	YBL105C	Protein kinase C-like 1	p
MED8	YBR193C	Mediator of RNA polymerase II transcription subunit 8	RAD23	YEL037C	UV excision repair protein RAD23	p
CDC7	YDL017W	Cell division control protein 7	SWI6	YLR182W	Regulatory protein SWI6	tu
SNF11	YDR073W	Transcription regulatory protein SNF11	SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	p
SNF11	YDR073W	Transcription regulatory protein SNF11	SWI3	YJL176C	SWI/SNF complex subunit SWI3	p
SNF11	YDR073W	Transcription regulatory protein SNF11	SNF12	YNR023W	Transcription regulatory protein SNF12	p
SNF11	YDR073W	Transcription regulatory protein SNF11	SNF2	YOR290C	Transcription regulatory protein SNF2	p
SNF11	YDR073W	Transcription regulatory protein SNF11	ARP7	YPR034W	Actin-related protein 7	p
TAF12	YDR145W	Transcription initiation factor TFIID subunit 12	SWI6	YLR182W	Regulatory protein SWI6	tu
POP5	YAL033W	Ribonuclease P/MRP protein subunit POP5	RAP1	YNL216W	DNA-binding protein RAP1	tu
GRX7	YBR014C	Monothiol glutaredoxin-7 precursor	XBP1	YIL101C	Transcriptional repressor XBP1	tu
CCT6	YDR188W	T-complex protein 1 subunit zeta	RAP1	YNL216W	DNA-binding protein RAP1	p
CCT6	YDR188W	T-complex protein 1 subunit zeta	RAP1	YNL216W	DNA-binding protein RAP1	tu
SLY1	YDR189W	Protein SLY1	NDD1	YOR372C	Nuclear division defective protein 1	tu
SNT2	YGL131C	E3 ubiquitin-protein ligase SNT2 {ECO:0000305|PubMed:22570702}	XBP1	YIL101C	Transcriptional repressor XBP1	p
ANP1	YEL036C	Mannan polymerase II complex ANP1 subunit	SED5	YLR026C	Integral membrane protein SED5	p
UTP4	YDR324C	U3 small nucleolar RNA-associated protein 4	RAP1	YNL216W	DNA-binding protein RAP1	tu
YRA1	YDR381W	RNA annealing protein YRA1	TIF4632	YGL049C	Eukaryotic initiation factor 4F subunit p130	p
CDC39	YCR093W	General negative regulator of transcription subunit 1	SKN7	YHR206W	Transcription factor SKN7	p
PHO88	YBR106W	Inorganic phosphate transport protein PHO88	SSH1	YBR283C	Sec sixty-one protein homolog	p
PHO88	YBR106W	Inorganic phosphate transport protein PHO88	SUR2	YDR297W	Sphingolipid C4-hydroxylase SUR2	p
PHO88	YBR106W	Inorganic phosphate transport protein PHO88	OLE1	YGL055W	Acyl-CoA desaturase 1	p
SUM1	YDR310C	Suppressor of mar1-1 protein	SCS7	YMR272C	Ceramide very long chain fatty acid hydroxylase SCS7	td
AME1	YBR211C	Central kinetochore subunit AME1	PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	ku
VAM6	YDL077C	Vacuolar morphogenesis protein 6	YPT7	YML001W	GTP-binding protein YPT7	p
VPS41	YDR080W	Vacuolar protein sorting-associated protein 41	YPT7	YML001W	GTP-binding protein YPT7	p
RPT2	YDL007W	26S protease regulatory subunit 4 homolog	UBP6	YFR010W	Ubiquitin carboxyl-terminal hydrolase 6	p
CDC53	YDL132W	Cell division control protein 53	UFO1	YML088W	Ubiquitin ligase complex F-box protein UFO1	p
SKP1	YDR328C	Suppressor of kinetochore protein 1	UFO1	YML088W	Ubiquitin ligase complex F-box protein UFO1	p
TOS2	YGR221C	Protein TOS2	CDC28	YBR160W	Cyclin-dependent kinase 1	ku
TOS2	YGR221C	Protein TOS2	CDC28	YBR160W	Cyclin-dependent kinase 1	p
PKC1	YBL105C	Protein kinase C-like 1	TEL1	YBL088C	Serine/threonine-protein kinase TEL1	ku
PKC1	YBL105C	Protein kinase C-like 1	CHS3	YBR023C	Chitin synthase 3 {ECO:0000303|PubMed:2050737}	kd
PKC1	YBL105C	Protein kinase C-like 1	PTC1	YDL006W	Protein phosphatase 2C homolog 1	kd
PKC1	YBL105C	Protein kinase C-like 1	ACK1	YDL203C	Activator of C kinase protein 1	kd
PKC1	YBL105C	Protein kinase C-like 1	SPC110	YDR356W	Spindle pole body component 110	kd
PKC1	YBL105C	Protein kinase C-like 1	SWI4	YER111C	Regulatory protein SWI4	kd
PKC1	YBL105C	Protein kinase C-like 1	GLC7	YER133W	Serine/threonine-protein phosphatase PP1-2	kd
PKC1	YBL105C	Protein kinase C-like 1	BCK2	YER167W	Protein BCK2	kd
PKC1	YBL105C	Protein kinase C-like 1	BGL2	YGR282C	Glucan 1,3-beta-glucosidase precursor	kd
PKC1	YBL105C	Protein kinase C-like 1	OPI1	YHL020C	Transcriptional repressor OPI1	kd
PKC1	YBL105C	Protein kinase C-like 1	MID2	YLR332W	Cell wall integrity sensor MID2 precursor	kd
PKC1	YBL105C	Protein kinase C-like 1	FKS1	YLR342W	1,3-beta-glucan synthase component FKS1	kd
PKC1	YBL105C	Protein kinase C-like 1	FKS1	YLR342W	1,3-beta-glucan synthase component FKS1	p
PKC1	YBL105C	Protein kinase C-like 1	SIR3	YLR442C	Regulatory protein SIR3	kd
PKC1	YBL105C	Protein kinase C-like 1	MIH1	YMR036C	M-phase inducer phosphatase	kd
PKC1	YBL105C	Protein kinase C-like 1	DSK2	YMR276W	Ubiquitin domain-containing protein DSK2	kd
PKC1	YBL105C	Protein kinase C-like 1	KAR1	YNL188W	Cell division control protein KAR1	kd
PKC1	YBL105C	Protein kinase C-like 1	RIM21	YNL294C	pH-response regulator protein palH/RIM21	kd
PKC1	YBL105C	Protein kinase C-like 1	RLM1	YPL089C	Transcription factor RLM1	kd
PKC1	YBL105C	Protein kinase C-like 1	CLB5	YPR120C	S-phase entry cyclin-5	kd
PKC1	YBL105C	Protein kinase C-like 1	KRE6	YPR159W	Beta-glucan synthesis-associated protein KRE6	kd
PKC1	YBL105C	Protein kinase C-like 1	RHO1	YPR165W	GTP-binding protein RHO1 precursor	kd
PKC1	YBL105C	Protein kinase C-like 1	RHO1	YPR165W	GTP-binding protein RHO1 precursor	p
ALG14	YBR070C	UDP-N-acetylglucosamine transferase subunit ALG14	STE12	YHR084W	Protein STE12	tu
LRE1	YCL051W	Laminarase-resistance protein LRE1	CDC28	YBR160W	Cyclin-dependent kinase 1	ku
LRE1	YCL051W	Laminarase-resistance protein LRE1	CDC28	YBR160W	Cyclin-dependent kinase 1	p
CDC39	YCR093W	General negative regulator of transcription subunit 1	CAF4	YKR036C	CCR4-associated factor 4	p
NA	YDR115W	54S ribosomal protein L34, mitochondrial precursor	SWI6	YLR182W	Regulatory protein SWI6	tu
RVS167	YDR388W	Reduced viability upon starvation protein 167	SMI1	YGR229C	Cell wall assembly regulator SMI1	p
PTP3	YER075C	Tyrosine-protein phosphatase 3	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	ku
PTP3	YER075C	Tyrosine-protein phosphatase 3	HOG1	YLR113W	Mitogen-activated protein kinase HOG1	p
TSC11	YER093C	Target of rapamycin complex 2 subunit TSC11	TOR1	YJR066W	Serine/threonine-protein kinase TOR1	ku
SWI4	YER111C	Regulatory protein SWI4	CRH1	YGR189C	Probable glycosidase CRH1 precursor	td
SWI4	YER111C	Regulatory protein SWI4	CIS3	YJL158C	Cell wall mannoprotein CIS3 precursor	td
SWI4	YER111C	Regulatory protein SWI4	HSP150	YJL159W	Cell wall mannoprotein HSP150 precursor	td
SWI4	YER111C	Regulatory protein SWI4	MID2	YLR332W	Cell wall integrity sensor MID2 precursor	td
SWI4	YER111C	Regulatory protein SWI4	FKS1	YLR342W	1,3-beta-glucan synthase component FKS1	td
SWI4	YER111C	Regulatory protein SWI4	GAS1	YMR307W	1,3-beta-glucanosyltransferase GAS1 precursor	td
SWI4	YER111C	Regulatory protein SWI4	CAF120	YNL278W	CCR4-NOT transcriptional complex subunit CAF120	td
YPI1	YFR003C	Type 1 phosphatases regulator YPI1	GLC7	YER133W	Serine/threonine-protein phosphatase PP1-2	p
KEG1	YFR042W	Beta-1,6-glucan synthesis-associated protein KEG1	KRE6	YPR159W	Beta-glucan synthesis-associated protein KRE6	p
SMI1	YGR229C	Cell wall assembly regulator SMI1	BCK2	YER167W	Protein BCK2	p
SMI1	YGR229C	Cell wall assembly regulator SMI1	CNB1	YKL190W	Calcineurin subunit B	p
SMI1	YGR229C	Cell wall assembly regulator SMI1	MID2	YLR332W	Cell wall integrity sensor MID2 precursor	p
SMI1	YGR229C	Cell wall assembly regulator SMI1	RLM1	YPL089C	Transcription factor RLM1	p
RVB1	YDR190C	RuvB-like protein 1	TAH1	YCR060W	TPR repeat-containing protein associated with Hsp90	p
RVB1	YDR190C	RuvB-like protein 1	RVB2	YPL235W	RuvB-like protein 2	p
TEL2	YGR099W	Telomere length regulation protein TEL2	RVB2	YPL235W	RuvB-like protein 2	p
QDR3	YBR043C	Quinidine resistance protein 3	GCN4	YEL009C	General control protein GCN4	tu
CDC28	YBR160W	Cyclin-dependent kinase 1	GCN4	YEL009C	General control protein GCN4	kd
ISW1	YBR245C	ISWI chromatin-remodeling complex ATPase ISW1	HTB1	YDR224C	Histone H2B.1	p
SRB7	YDR308C	Mediator of RNA polymerase II transcription subunit 21	SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	ku
ADA2	YDR448W	Transcriptional adapter 2	NGG1	YDR176W	Chromatin-remodeling complexes subunit NGG1	p
ADA2	YDR448W	Transcriptional adapter 2	SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	p
ADA2	YDR448W	Transcriptional adapter 2	SPT15	YER148W	TATA-box-binding protein	p
ADA2	YDR448W	Transcriptional adapter 2	MED7	YOL135C	Mediator of RNA polymerase II transcription subunit 7	p
ADA2	YDR448W	Transcriptional adapter 2	GAL4	YPL248C	Regulatory protein GAL4	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	GCN4	YEL009C	General control protein GCN4	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	SPT15	YER148W	TATA-box-binding protein	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	NUT1	YGL151W	Mediator of RNA polymerase II transcription subunit 5	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	CSE2	YNR010W	Mediator of RNA polymerase II transcription subunit 9	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	GAL11	YOL051W	Mediator of RNA polymerase II transcription subunit 15	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	MED7	YOL135C	Mediator of RNA polymerase II transcription subunit 7	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	ku
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	SSN3	YPL042C	Meiotic mRNA stability protein kinase SSN3	p
SRB4	YER022W	Mediator of RNA polymerase II transcription subunit 17	GAL4	YPL248C	Regulatory protein GAL4	p
HOM3	YER052C	Aspartokinase	GCN4	YEL009C	General control protein GCN4	tu
KAP114	YGL241W	Importin subunit beta-5	HTB1	YDR224C	Histone H2B.1	p
KAP114	YGL241W	Importin subunit beta-5	SPT15	YER148W	TATA-box-binding protein	p
RPN4	YDL020C	Protein RPN4	YAP1	YML007W	AP-1-like transcription factor YAP1	tu
VPS74	YDR372C	Vacuolar protein sorting-associated protein 74	HAP3	YBL021C	Transcriptional activator HAP3	tu
MED8	YBR193C	Mediator of RNA polymerase II transcription subunit 8	ROX3	YBL093C	Mediator of RNA polymerase II transcription subunit 19	p
MED8	YBR193C	Mediator of RNA polymerase II transcription subunit 8	NUT1	YGL151W	Mediator of RNA polymerase II transcription subunit 5	p
MED8	YBR193C	Mediator of RNA polymerase II transcription subunit 8	SRB2	YHR041C	Mediator of RNA polymerase II transcription subunit 20	p
SRB7	YDR308C	Mediator of RNA polymerase II transcription subunit 21	NUT2	YPR168W	Mediator of RNA polymerase II transcription subunit 10	p
SKP1	YDR328C	Suppressor of kinetochore protein 1	SRB7	YDR308C	Mediator of RNA polymerase II transcription subunit 21	p
SOH1	YGL127C	Mediator of RNA polymerase II transcription subunit 31	MED8	YBR193C	Mediator of RNA polymerase II transcription subunit 8	p
SOH1	YGL127C	Mediator of RNA polymerase II transcription subunit 31	NUT2	YPR168W	Mediator of RNA polymerase II transcription subunit 10	p
MYO4	YAL029C	Myosin-4	FKH2	YNL068C	Fork head protein homolog 2	tu
POP7	YBR167C	Ribonucleases P/MRP protein subunit POP7	POP6	YGR030C	Ribonucleases P/MRP protein subunit POP6	p
POP7	YBR167C	Ribonucleases P/MRP protein subunit POP7	POP3	YNL282W	Ribonucleases P/MRP protein subunit POP3	p
MAK5	YBR142W	ATP-dependent RNA helicase MAK5	URB1	YKL014C	Nucleolar pre-ribosomal-associated protein 1	p
MAK5	YBR142W	ATP-dependent RNA helicase MAK5	DBP9	YLR276C	ATP-dependent RNA helicase DBP9	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	NOP7	YGR103W	Pescadillo homolog {ECO:0000255|HAMAP-Rule:MF_03028, ECO:0000303|PubMed:12022229}	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	CIC1	YHR052W	Proteasome-interacting protein CIC1	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	RPF2	YKR081C	Ribosome biogenesis protein RPF2	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	DBP9	YLR276C	ATP-dependent RNA helicase DBP9	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	ERB1	YMR049C	Ribosome biogenesis protein ERB1 {ECO:0000255|HAMAP-Rule:MF_03027}	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	RRP5	YMR229C	rRNA biogenesis protein RRP5	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	RLP7	YNL002C	Ribosome biogenesis protein RLP7	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	NOP2	YNL061W	25S rRNA (cytosine(2870)-C(5))-methyltransferase	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	BRX1	YOL077C	Ribosome biogenesis protein BRX1	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	YTM1	YOR272W	Ribosome biogenesis protein YTM1 {ECO:0000255|HAMAP-Rule:MF_03029}	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	NOP4	YPL043W	Nucleolar protein 4	p
MAK21	YDR060W	Ribosome biogenesis protein MAK21	NIP7	YPL211W	60S ribosome subunit biogenesis protein NIP7	p
RRP1	YDR087C	Ribosomal RNA-processing protein 1	NOP2	YNL061W	25S rRNA (cytosine(2870)-C(5))-methyltransferase	p
SSF2	YDR312W	Ribosome biogenesis protein SSF2	NSA1	YGL111W	Ribosome biogenesis protein NSA1	p
RRP45	YDR280W	Exosome complex component RRP45	LRP1	YHR081W	Exosome complex protein LRP1	p
RRP46	YGR095C	Exosome complex component RRP46	RRP43	YCR035C	Exosome complex component RRP43	p
RRP46	YGR095C	Exosome complex component RRP46	RRP42	YDL111C	Exosome complex component RRP42	p
RRP46	YGR095C	Exosome complex component RRP46	RRP45	YDR280W	Exosome complex component RRP45	p
RRP46	YGR095C	Exosome complex component RRP46	MTR3	YGR158C	Exosome complex component MTR3	p
RRP46	YGR095C	Exosome complex component RRP46	SKI6	YGR195W	Exosome complex component SKI6	p
RRP46	YGR095C	Exosome complex component RRP46	LRP1	YHR081W	Exosome complex protein LRP1	p
RRP46	YGR095C	Exosome complex component RRP46	CSL4	YNL232W	Exosome complex component CSL4	p
RRP46	YGR095C	Exosome complex component RRP46	MPP6	YNR024W	M-phase phosphoprotein 6 homolog	p
RRP46	YGR095C	Exosome complex component RRP46	DIS3	YOL021C	Exosome complex exonuclease DIS3	p
RRP46	YGR095C	Exosome complex component RRP46	RRP6	YOR001W	Exosome complex exonuclease RRP6	p
RRP46	YGR095C	Exosome complex component RRP46	SKI7	YOR076C	Superkiller protein 7	p
MTR3	YGR158C	Exosome complex component MTR3	RRP43	YCR035C	Exosome complex component RRP43	p
MTR3	YGR158C	Exosome complex component MTR3	RRP42	YDL111C	Exosome complex component RRP42	p
MTR3	YGR158C	Exosome complex component MTR3	RRP45	YDR280W	Exosome complex component RRP45	p
MTR3	YGR158C	Exosome complex component MTR3	RRP46	YGR095C	Exosome complex component RRP46	p
MTR3	YGR158C	Exosome complex component MTR3	SKI6	YGR195W	Exosome complex component SKI6	p
MTR3	YGR158C	Exosome complex component MTR3	LRP1	YHR081W	Exosome complex protein LRP1	p
MTR3	YGR158C	Exosome complex component MTR3	CSL4	YNL232W	Exosome complex component CSL4	p
MTR3	YGR158C	Exosome complex component MTR3	DIS3	YOL021C	Exosome complex exonuclease DIS3	p
MTR3	YGR158C	Exosome complex component MTR3	RRP6	YOR001W	Exosome complex exonuclease RRP6	p
MTR3	YGR158C	Exosome complex component MTR3	SKI7	YOR076C	Superkiller protein 7	p
SYF2	YGR129W	Pre-mRNA-splicing factor SYF2	ABF1	YKL112W	ARS-binding factor 1	tu
HEM13	YDR044W	Oxygen-dependent coproporphyrinogen-III oxidase	SPT3	YDR392W	Protein SPT3	tu
MTR3	YGR158C	Exosome complex component MTR3	RRP4	YHR069C	Exosome complex component RRP4	p
MTR3	YGR158C	Exosome complex component MTR3	RRP40	YOL142W	Exosome complex component RRP40	p
NA	YGR283C	Putative methyltransferase YGR283C {ECO:0000305}	SMP1	YBR182C	Transcription factor SMP1	tu
MDM10	YAL010C	Mitochondrial distribution and morphology protein 10 {ECO:0000255|HAMAP-Rule:MF_03102}	SAM37	YMR060C	Sorting assembly machinery 37 kDa subunit	p
MDM10	YAL010C	Mitochondrial distribution and morphology protein 10 {ECO:0000255|HAMAP-Rule:MF_03102}	TOM40	YMR203W	Mitochondrial import receptor subunit TOM40	p
MDM10	YAL010C	Mitochondrial distribution and morphology protein 10 {ECO:0000255|HAMAP-Rule:MF_03102}	SAM50	YNL026W	Sorting assembly machinery 50 kDa subunit	p
TOM20	YGR082W	Mitochondrial import receptor subunit TOM20	MIC60	YKR016W	MICOS complex subunit MIC60 precursor	p
TOM20	YGR082W	Mitochondrial import receptor subunit TOM20	TOM40	YMR203W	Mitochondrial import receptor subunit TOM40	p
TOM20	YGR082W	Mitochondrial import receptor subunit TOM20	TOM22	YNL131W	Mitochondrial import receptor subunit TOM22	p
TOM20	YGR082W	Mitochondrial import receptor subunit TOM20	TOM5	YPR133W-A	Mitochondrial import receptor subunit TOM5	p
AAR2	YBL074C	A1 cistron-splicing factor AAR2	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	p
MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	NPL3	YDR432W	Nucleolar protein 3	p
SNU71	YGR013W	U1 small nuclear ribonucleoprotein component SNU71	MUD1	YBR119W	U1 small nuclear ribonucleoprotein A	p
SNU71	YGR013W	U1 small nuclear ribonucleoprotein component SNU71	LUC7	YDL087C	Protein LUC7	p
SNU71	YGR013W	U1 small nuclear ribonucleoprotein component SNU71	PRP42	YDR235W	U1 small nuclear ribonucleoprotein component PRP42	p
